year,month,crime_count
2020,1,1213
2020,2,1127
2020,3,969
2020,4,804
2020,5,1078
2020,6,841
2020,7,921
2020,8,1027
2020,9,928
2020,10,960
2020,11,905
2020,12,831
2021,1,887
2021,2,919
2021,3,943
2021,4,942
2021,5,1018
2021,6,1096
2021,7,1181
2021,8,1156
2021,9,1161
2021,10,1299
2021,11,1262
2021,12,1307
2022,1,1293
2022,2,1209
2022,3,1455
2022,4,1516
2022,5,1489
2022,6,1471
2022,7,1564
2022,8,1708
2022,9,1522
2022,10,1532
2022,11,1438
2022,12,1518
2023,1,1554
2023,2,1334
2023,3,1360
2023,4,1368
2023,5,1311
2023,6,1318
2023,7,1357
2023,8,1391
2023,9,1363
2023,10,1483
2023,11,1521
2023,12,1607
2024,1,1471
2024,2,1262
2024,3,847
2024,4,611
2024,5,661
2024,6,867
2024,7,1041
2024,8,988
2024,9,718
2024,10,701
2024,11,585
2024,12,462
