crime_description,avg_age
ARSON,25.6691
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",7.5315
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36.6229
"ATTEMPTED ROBBERY",33.9706
"BATTERY - SIMPLE ASSAULT",39.9785
"BATTERY ON A FIREFIGHTER",25.0000
"BATTERY POLICE (SIMPLE)",8.5934
"BATTERY WITH SEXUAL CONTACT",30.6847
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",18.7778
BIGAMY,17.2857
"BIKE - ATTEMPTED STOLEN",38.5000
"BIKE - STOLEN",34.6914
"BLOCKING DOOR INDUCTION CENTER",54.6667
"BOAT - STOLEN",0.0000
"BOMB SCARE",9.4416
"BRANDISH WEAPON",37.7595
BRIBERY,20.0000
"BUNCO, ATTEMPT",39.7994
"BUNCO, GRAND THEFT",44.9758
"BUNCO, PETTY THEFT",38.5106
BURGLARY,32.0595
"BURGLARY FROM VEHICLE",36.9986
"BURGLARY FROM VEHICLE, ATTEMPTED",37.5177
"BURGLARY, ATTEMPTED",33.2491
"CHILD ABANDONMENT",7.6154
"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",9.9202
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",11.1959
"CHILD ANNOYING (17YRS & UNDER)",13.1667
"CHILD NEGLECT (SEE 300 W.I.C.)",6.5729
"CHILD PORNOGRAPHY",23.7491
"CHILD STEALING",27.8845
CONSPIRACY,24.4167
"CONTEMPT OF COURT",41.3530
CONTRIBUTING,14.9778
COUNTERFEIT,17.0588
"CREDIT CARDS, FRAUD USE ($950 & UNDER",36.1739
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",29.0901
"CRIMINAL HOMICIDE",36.7894
"CRIMINAL THREATS - NO WEAPON DISPLAYED",38.7246
"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)",10.5258
"CRUELTY TO ANIMALS",18.3569
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",10.4985
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",14.9615
"DISCHARGE FIREARMS/SHOTS FIRED",7.3934
"DISHONEST EMPLOYEE - GRAND THEFT",25.9167
"DISHONEST EMPLOYEE - PETTY THEFT",20.6522
"DISHONEST EMPLOYEE ATTEMPTED THEFT",15.0000
"DISRUPT SCHOOL",25.1538
"DISTURBING THE PEACE",40.9736
"DOCUMENT FORGERY / STOLEN FELONY",37.4966
"DOCUMENT WORTHLESS ($200 & UNDER)",23.2222
"DOCUMENT WORTHLESS ($200.01 & OVER)",29.5616
"DRIVING WITHOUT OWNER CONSENT (DWOC)",14.8263
"DRUGS, TO A MINOR",8.9167
"DRUNK ROLL",32.8810
"DRUNK ROLL - ATTEMPT",58.0000
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",5.3885
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",12.1678
EXTORTION,33.1128
"FAILURE TO DISPERSE",0.0000
"FAILURE TO YIELD",6.3372
"FALSE IMPRISONMENT",33.2222
"FALSE POLICE REPORT",19.0989
"FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)",21.4000
"FIREARMS RESTRAINING ORDER (FIREARMS RO)",19.0000
"GRAND THEFT / AUTO REPAIR",26.1667
"GRAND THEFT / INSURANCE FRAUD",42.5000
"HUMAN TRAFFICKING - COMMERCIAL SEX ACTS",16.5762
"HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE",21.6780
"ILLEGAL DUMPING",22.6702
"INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)",24.8333
"INCITING A RIOT",2.0000
"INDECENT EXPOSURE",34.1895
"INTIMATE PARTNER - AGGRAVATED ASSAULT",34.0450
"INTIMATE PARTNER - SIMPLE ASSAULT",34.5591
KIDNAPPING,26.3276
"KIDNAPPING - GRAND ATTEMPT",20.2629
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",35.7560
"LEWD CONDUCT",34.2829
"LEWD/LASCIVIOUS ACTS WITH CHILD",12.9655
LYNCHING,4.8182
