dr_no,date_reported,date_occurred,time_occurred,area,area_name,reporting_district_no,part,crime_code,crime_description,mocodes,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status_code,status_description,crime_location,cross_street,latitude,longitude
817,2020-09-20,2020-09-19,1700,17,Devonshire,1777,1,510,"VEHICLE - STOLEN",,0,,,101,STREET,,,IC,"Invest Cont",510.0,,NULL,NULL
2113,2021-06-21,2021-04-05,1835,13,Newton,1385,1,510,"VEHICLE - STOLEN",,0,,,101,STREET,,,IC,"Invest Cont",510.0,,NULL,NULL
2203,2022-12-31,2022-12-19,1930,3,Southwest,356,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,"Invest Cont",522.0,,NULL,NULL
2315,2023-07-23,2023-07-22,1800,15,"N Hollywood",1566,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,0,,,101,STREET,,,IC,"Invest Cont",420.0,,NULL,NULL
2401,2024-01-10,2023-12-21,1930,14,Pacific,1416,1,510,"VEHICLE - STOLEN",,0,,,101,STREET,,,IC,"Invest Cont",510.0,,NULL,NULL
190101086,2020-01-02,2020-01-01,330,1,Central,163,2,624,"BATTERY - SIMPLE ASSAULT","0416 1822 1414",25,M,H,102,SIDEWALK,500.0,"UNKNOWN WEAPON/OTHER WEAPON",IC,"Invest Cont",624.0,,NULL,NULL
191501505,2020-01-01,2020-01-01,1730,15,"N Hollywood",1543,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1402",76,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,"Invest Cont",745.0,998.0,NULL,NULL
191921269,2020-01-01,2020-01-01,415,19,Mission,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,X,X,409,"BEAUTY SUPPLY STORE",,,IC,"Invest Cont",740.0,,NULL,NULL
200100003,2020-08-15,2020-08-14,2200,1,Central,162,1,510,"VEHICLE - STOLEN",,0,,,101,STREET,,,IC,"Invest Cont",510.0,,NULL,NULL
200100501,2020-01-02,2020-01-01,30,1,Central,163,1,121,"RAPE, FORCIBLE","0413 1822 1262 1415",25,F,H,735,"NIGHT CLUB (OPEN EVENINGS ONLY)",500.0,"UNKNOWN WEAPON/OTHER WEAPON",IC,"Invest Cont",121.0,998.0,NULL,NULL
200100502,2020-01-02,2020-01-02,1315,1,Central,161,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","1402 2004 0344 0387",23,M,H,404,"DEPARTMENT STORE",,,IC,"Invest Cont",442.0,998.0,NULL,NULL
200100504,2020-01-04,2020-01-04,40,1,Central,155,2,946,"OTHER MISCELLANEOUS CRIME","1402 0392",0,X,X,726,"POLICE FACILITY",,,IC,"Invest Cont",946.0,998.0,NULL,NULL
200100507,2020-01-04,2020-01-04,200,1,Central,101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 0344 1402",23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,"Invest Cont",341.0,998.0,NULL,NULL
