crime_description,victim_sex,cont
ARSON,X,745
ARSON,M,1210
ARSON,F,608
ARSON,,3
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",X,368
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",M,641
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",H,1
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",F,68
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,1003
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,38173
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",H,6
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,14329
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,14
"ATTEMPTED ROBBERY",X,500
"ATTEMPTED ROBBERY",M,3111
"ATTEMPTED ROBBERY",H,1
"ATTEMPTED ROBBERY",F,1221
"ATTEMPTED ROBBERY",,3
"BATTERY - SIMPLE ASSAULT",X,458
"BATTERY - SIMPLE ASSAULT",M,39210
"BATTERY - SIMPLE ASSAULT",H,7
"BATTERY - SIMPLE ASSAULT",F,35136
"BATTERY - SIMPLE ASSAULT",,6
"BATTERY ON A FIREFIGHTER",X,35
"BATTERY ON A FIREFIGHTER",M,216
"BATTERY ON A FIREFIGHTER",F,6
"BATTERY POLICE (SIMPLE)",X,1183
"BATTERY POLICE (SIMPLE)",M,1190
"BATTERY POLICE (SIMPLE)",F,190
"BATTERY POLICE (SIMPLE)",,2
"BATTERY WITH SEXUAL CONTACT",X,20
"BATTERY WITH SEXUAL CONTACT",M,376
"BATTERY WITH SEXUAL CONTACT",F,3768
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",X,2
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",M,5
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",F,2
BIGAMY,X,1
BIGAMY,M,3
BIGAMY,F,3
"BIKE - ATTEMPTED STOLEN",M,4
"BIKE - ATTEMPTED STOLEN",F,2
"BIKE - STOLEN",X,248
"BIKE - STOLEN",M,5470
"BIKE - STOLEN",F,2477
"BIKE - STOLEN",,2
"BLOCKING DOOR INDUCTION CENTER",M,4
"BLOCKING DOOR INDUCTION CENTER",F,2
"BOAT - STOLEN",,150
"BOMB SCARE",X,270
"BOMB SCARE",M,161
"BOMB SCARE",F,40
"BRANDISH WEAPON",X,164
"BRANDISH WEAPON",M,9572
"BRANDISH WEAPON",F,4793
"BRANDISH WEAPON",,2
BRIBERY,X,2
BRIBERY,M,4
BRIBERY,F,2
"BUNCO, ATTEMPT",X,26
"BUNCO, ATTEMPT",M,147
"BUNCO, ATTEMPT",F,151
"BUNCO, GRAND THEFT",X,258
"BUNCO, GRAND THEFT",M,2811
"BUNCO, GRAND THEFT",F,3116
"BUNCO, GRAND THEFT",,1
"BUNCO, PETTY THEFT",X,109
"BUNCO, PETTY THEFT",M,938
"BUNCO, PETTY THEFT",F,980
BURGLARY,X,13364
BURGLARY,M,28579
BURGLARY,H,3
BURGLARY,F,15860
BURGLARY,,68
"BURGLARY FROM VEHICLE",X,1532
"BURGLARY FROM VEHICLE",M,35397
"BURGLARY FROM VEHICLE",H,20
"BURGLARY FROM VEHICLE",F,26546
"BURGLARY FROM VEHICLE",,16
"BURGLARY FROM VEHICLE, ATTEMPTED",X,44
"BURGLARY FROM VEHICLE, ATTEMPTED",M,371
"BURGLARY FROM VEHICLE, ATTEMPTED",H,1
"BURGLARY FROM VEHICLE, ATTEMPTED",F,291
"BURGLARY, ATTEMPTED",X,874
"BURGLARY, ATTEMPTED",M,1690
"BURGLARY, ATTEMPTED",F,1387
"CHILD ABANDONMENT",X,1
"CHILD ABANDONMENT",M,13
"CHILD ABANDONMENT",F,12
"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",X,3
"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",M,319
"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",F,292
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",X,10
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",M,1663
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",H,1
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",F,1884
"CHILD ANNOYING (17YRS & UNDER)",X,5
"CHILD ANNOYING (17YRS & UNDER)",M,158
"CHILD ANNOYING (17YRS & UNDER)",F,881
"CHILD NEGLECT (SEE 300 W.I.C.)",X,6
"CHILD NEGLECT (SEE 300 W.I.C.)",M,628
"CHILD NEGLECT (SEE 300 W.I.C.)",F,567
"CHILD PORNOGRAPHY",X,9
"CHILD PORNOGRAPHY",M,163
"CHILD PORNOGRAPHY",F,103
"CHILD STEALING",X,57
"CHILD STEALING",M,208
"CHILD STEALING",F,194
CONSPIRACY,X,5
CONSPIRACY,M,16
CONSPIRACY,F,3
"CONTEMPT OF COURT",X,18
"CONTEMPT OF COURT",M,748
"CONTEMPT OF COURT",F,1955
"CONTEMPT OF COURT",,1
CONTRIBUTING,X,1
CONTRIBUTING,M,11
CONTRIBUTING,F,33
COUNTERFEIT,X,51
COUNTERFEIT,M,55
COUNTERFEIT,F,12
COUNTERFEIT,,1
"CREDIT CARDS, FRAUD USE ($950 & UNDER",X,11
"CREDIT CARDS, FRAUD USE ($950 & UNDER",M,38
"CREDIT CARDS, FRAUD USE ($950 & UNDER",F,43
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",X,35
